,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,Bryn Forbes,SAS,25,44,25,19,28.3,12.4,4.7,10.1,46.2,2.2,5.1,42.7,0.9,1.1,87.2,0.2,2.5,2.7,2.3,1.2,0.6,0,2.2,19.9,1,0,-0.3
117,Marvin Bagley III,SAC,19,29,16,13,22.9,12.4,4.7,8.9,52.7,0.3,1,33.3,2.7,4,67,2.3,3.9,6.2,0.9,1.6,0.5,1,1.9,24.1,4,0,-1.9
118,Brook Lopez,MIL,30,41,29,12,27.8,12.2,4.3,9.8,43.6,2.6,6.8,37.6,1.1,1.4,81,0.4,3.5,3.9,1,1,0.5,2,2.1,25,0,0,7
119,Reggie Bullock,DET,27,33,17,16,30.5,12.2,4.2,10,41.4,2.5,6.4,39.6,1.3,1.5,88,0.5,2.1,2.6,2.4,1.1,0.5,0.1,1.7,19.6,0,0,-0.8
120,Otto Porter Jr.,WAS,25,31,14,17,28.3,12.2,4.8,10,47.9,1.5,3.9,38.3,1.1,1.5,77.8,0.9,4.5,5.5,2,1,1.5,0.6,1.6,27,3,0,0
121,Kevin Knox,NYK,19,35,8,27,26.6,12.1,4.3,11.3,37.5,1.6,4.6,35.4,2,2.8,70.7,0.8,3.3,4.1,0.9,1.3,0.5,0.3,2.3,19.7,1,0,-7.5
122,Justise Winslow,MIA,22,36,18,18,28.7,12.1,4.6,10.8,42.6,1.3,3.5,37.8,1.5,2.3,65.1,0.9,4.3,5.3,4.1,2,1.1,0.3,2.4,26.7,5,0,3.3
123,Jaylen Brown,BOS,22,37,20,17,26.1,12,4.6,10.3,44.5,1.1,3.6,30.3,1.8,2.7,65.7,1,3.1,4.1,1.5,1.5,0.8,0.6,2.7,21.8,0,0,0.6
124,Jae Crowder,UTA,28,43,22,21,27.3,12,3.9,9.7,39.9,2,6.1,32.8,2.2,3,73.1,0.7,4,4.7,1.6,1,0.7,0.4,2,22.7,2,0,2.2
125,Joe Ingles,UTA,31,44,23,21,31.1,11.8,4.3,9.9,43.7,2.1,5.5,37.3,1.1,1.6,65.3,0.3,3.8,4.1,4.7,2.2,1.5,0.2,2.4,26.7,1,0,4.3
126,Cedi Osman,CLE,23,41,7,34,31.8,11.7,4.2,10.5,39.8,1.4,4.6,30.5,1.9,2.3,81.3,0.5,4.2,4.8,2.2,1.6,0.6,0.2,2.5,21.5,3,0,-10.9
127,Jeff Teague,MIN,30,28,16,12,30.7,11.7,3.9,9.8,40.3,0.9,2.8,33.8,2.9,3.5,82.7,0.4,2,2.4,8.4,2.3,1.1,0.5,2.1,29.6,6,0,1.4
128,Al Horford,BOS,32,33,19,14,28.1,11.6,4.9,9.8,49.8,1.2,3.3,34.9,0.7,1,70.6,1.5,4.8,6.3,3.8,1.5,0.8,1.4,1.8,30.1,3,0,3
129,Jeff Green,WAS,32,41,16,25,27.3,11.6,4.1,8.5,48,1.3,3.6,37,2.1,2.4,89.7,1,3.8,4.8,1.7,1.2,0.6,0.5,2.2,21.9,2,0,-0.6
130,Tristan Thompson,CLE,27,33,6,27,29.8,11.6,5,9.4,53.1,0,0,0,1.6,2.5,65.1,4.5,6.6,11.1,2.2,1.5,0.8,0.4,2.4,30.6,17,0,-6.9
131,Jarrett Allen,BKN,20,42,21,21,26.5,11.5,4.4,7.5,58.4,0.1,0.6,16,2.7,3.7,73.4,2.6,5.7,8.3,1.4,1.3,0.6,1.5,2.4,28.4,14,0,-0.7
132,Markieff Morris,WAS,29,34,13,21,26,11.5,4.2,9.6,43.6,1.4,4.2,33.3,1.7,2.1,78.1,1.2,3.9,5.1,1.8,1.4,0.7,0.6,3.4,22.9,1,0,-4.7
133,D.J. Augustin,ORL,31,41,18,23,27.8,11.4,3.6,7.9,45.8,1.7,3.9,42.5,2.5,2.8,89.6,0.5,1.6,2.1,4.8,1.5,0.6,0,1.4,21.2,1,0,0.5
134,JaVale McGee,LAL,30,36,21,15,23.1,11.3,5.1,8.5,59.7,0,0.2,16.7,1.2,1.8,66.2,2.5,4.3,6.9,0.8,1.6,0.7,2.3,2.5,28.4,3,0,-0.9
135,Trevor Ariza,WAS,33,39,10,29,35.2,11.2,3.8,10.4,36.8,2.1,6.2,33.5,1.5,1.8,85.5,0.6,4.9,5.6,3.5,1.7,1.6,0.2,1.8,27.1,1,0,-7.6
136,Derrick Favors,UTA,27,43,22,21,23.5,11.2,4.4,7.7,58.1,0.3,1.1,25.5,2,3.1,64.2,2.8,4.3,7.1,1,1.1,0.8,1.3,2.3,26.3,4,0,-0.1
137,Trey Burke,NYK,26,29,8,21,19.9,11.1,4.1,10.3,40.3,0.9,2.5,34.2,2,2.3,83.8,0.5,1.5,2,2.8,0.8,0.6,0.1,0.9,18.8,1,0,-1.9
138,Tyler Johnson,MIA,26,34,18,16,24.8,11.1,4,9.1,43.5,1.7,4.4,38.3,1.5,2.1,70.4,0.4,2.5,2.9,2.4,1.4,1,0.5,1.8,21.3,0,0,-0.2
139,Gordon Hayward,BOS,28,38,22,16,26.4,11.1,3.9,9.3,42.2,1.3,3.9,32.7,2,2.3,85.2,0.9,3.9,4.8,3.6,1.4,0.9,0.2,1.4,24.4,1,0,2.7
140,Elfrid Payton,NOP,24,12,9,3,26.1,11,4.4,9,49.1,0.8,1.6,47.4,1.4,1.8,77.3,0.8,2.8,3.6,5.6,2.6,1.3,0.2,2.2,25.3,1,1,6
141,Jeremy Lin,ATL,30,38,12,26,19.4,10.9,3.6,7.4,48.8,0.9,2.6,36.1,2.8,3.4,83.6,0.3,2.1,2.4,3.5,1.9,0.8,0.1,1.9,20,1,0,-2.6
142,J.J. Barea,DAL,34,38,20,18,19.8,10.9,4.2,10.1,41.8,1,3.4,29.7,1.4,2.1,70.5,0.3,2.2,2.5,5.6,1.9,0.6,0,1.3,22.2,3,0,1.5
143,DeAndre Jordan,DAL,30,42,20,22,31.2,10.9,4,6.3,63.9,0,0,0,2.8,4,69,3.1,10.9,14,2,2.4,0.7,1.1,2.5,33.6,25,0,-0.3
144,Justin Holiday,MEM,29,42,11,31,33.2,10.8,3.7,9.9,37.3,2.3,6.6,34.8,1.1,1.2,90.4,0.5,3.7,4.2,2.1,1.2,1.6,0.5,2,24.3,3,0,-7.9
145,JaMychal Green,MEM,28,30,11,19,23.4,10.7,4.1,8,51.7,0.9,2.2,39.4,1.6,2,80,1.9,4.9,6.8,0.8,1.7,0.9,0.6,3,23.1,4,0,-3.2
146,Malik Monk,CHA,20,39,17,22,19,10.6,3.6,9.3,39.3,1.7,5,33.7,1.7,1.8,91.5,0.2,1.5,1.7,1.8,1.3,0.6,0.3,1.4,16.7,0,0,0.1
147,DeMarre Carroll,BKN,32,32,16,16,24,10.6,3.3,8.2,39.7,1.6,4.6,35.6,2.5,3.2,77.7,0.9,3.9,4.8,1.1,1.1,0.3,0.1,1.6,18.2,1,0,-0.3
148,Nemanja Bjelica,SAC,30,43,22,21,24.7,10.6,4,8.1,49.6,1.5,3.5,43.6,1.1,1.4,78.3,1.6,4.4,6,2.1,1.3,0.8,0.8,2.6,24.6,4,0,1.2
149,Dario Saric,MIN,24,42,24,18,25.3,10.5,3.7,8.8,42.2,1.4,4.1,33.9,1.6,1.9,87.3,1.5,4.3,5.7,1.6,1.3,0.5,0.1,2.3,20.3,3,0,-0.2
149,Taj Gibson,MIN,33,42,21,21,25.6,10.5,4.4,7.9,55.6,0.3,0.7,35.5,1.5,2.1,69.3,2.6,4.2,6.9,1.3,1,0.8,0.5,2.6,23.6,7,0,1.2
151,Marco Belinelli,SAS,32,43,24,19,22,10.5,3.6,8.6,41.5,1.9,4.8,38.6,1.5,1.7,88.9,0.2,2,2.2,1.8,0.8,0.5,0.1,1.6,17,0,0,1.5
152,Fred VanVleet,TOR,24,39,29,10,26.8,10.5,3.7,9.1,40.3,1.7,4.6,36.7,1.4,1.8,81.2,0.4,2.3,2.7,4.5,1.3,0.9,0.2,1.7,22.6,0,0,3.1
153,Wendell Carter Jr.,CHI,19,43,10,33,25.2,10.4,4.1,8.4,48.9,0.1,0.7,19.4,2.1,2.6,79.5,2,4.9,6.9,1.8,1.4,0.6,1.3,3.5,25.7,7,0,-6.5
154,Alec Burks,CLE,27,40,12,28,23.4,10.4,3.6,8.8,40.5,1.2,3.1,38.4,2.1,2.6,82.5,0.4,3.1,3.5,2.1,1.1,0.6,0.4,1.6,19.7,0,0,-5.1
155,Tyreke Evans,IND,29,38,24,14,20.7,10.3,3.7,9.9,37.3,1.2,3.6,34.6,1.7,2.3,74.7,0.6,2.3,2.8,2.4,1.9,1.1,0.3,1.6,19.5,1,0,1.6
156,Alex Len,ATL,25,38,12,26,20.1,10.1,3.9,8.1,47.7,0.5,1.8,29,1.8,2.8,64.8,2.1,3.4,5.6,0.9,1.6,0.3,1,2.8,20.5,5,0,-3
157,Kentavious Caldwell-Pope,LAL,25,43,23,20,23.2,10.1,3.3,7.8,42.6,1.6,4.5,36.3,1.8,2,88.5,0.5,2.2,2.7,1.1,0.6,0.8,0.1,1.6,16.9,0,0,-0.1
158,Monte Morris,DEN,23,41,28,13,24.4,10,4,8.7,46.2,1.2,2.7,43.2,0.8,1,81,0.5,2.2,2.6,4,0.7,1,0,1.3,21.6,0,0,2.1
159,Marvin Williams,CHA,32,41,19,22,27.5,10,3.6,8.6,41.9,1.9,5,38,0.9,1.2,71.4,1,4.7,5.7,1.1,0.5,0.9,0.8,2.2,22.9,5,0,1.5
160,Allonzo Trier,NYK,22,35,9,26,22.1,9.9,3.5,7.8,44.2,0.6,1.6,37.5,2.4,3,80.2,0.5,2.3,2.8,1.8,1.7,0.4,0.3,1.6,16.4,1,0,-4.3
161,Rondae Hollis-Jefferson,BKN,24,34,15,19,24,9.9,3.6,8.9,40.5,0.2,1,24.2,2.4,3.7,65.9,1.4,4.4,5.8,1.9,1.2,0.8,0.5,2,22.5,2,0,-1.2
162,Garrett Temple,MEM,32,42,19,23,31.8,9.9,3.5,8.1,43.4,1.5,4.2,35.6,1.3,1.7,77.8,0.3,2.8,3.1,1.3,1.1,1.1,0.5,2.8,19.1,0,0,-0.5
163,Shai Gilgeous-Alexander,LAC,20,42,24,18,25.9,9.9,3.8,7.8,48.6,0.5,1.5,37.7,1.7,2.1,80.7,0.7,2.1,2.8,2.9,1.8,1,0.6,2,20.8,0,0,-0.6
164,Dewayne Dedmon,ATL,29,34,11,23,24.6,9.8,3.7,7.9,46.7,1.1,2.9,36,1.4,1.6,85.2,1.6,6,7.6,1.4,1.5,1,1,3.3,25.6,6,0,-3.6
165,Malik Beasley,DEN,22,41,28,13,22.1,9.8,3.8,8.1,47,1.7,4.3,39.8,0.5,0.5,90.9,0.4,2.1,2.5,1.2,0.6,0.6,0.1,1.5,16.4,0,0,2.2
166,Rodney McGruder,MIA,27,40,20,20,28.1,9.8,3.7,8.7,42.2,1.6,4,39,0.9,1.2,75.5,1,3,4,2.3,1.3,0.7,0.2,2.3,19.1,2,0,-1.1
167,Damyean Dotson,NYK,24,33,5,28,25,9.6,3.7,8.5,43.6,1.4,3.8,36,0.8,1.1,75,0.7,3,3.7,1.2,0.7,1,0.1,1.8,18.4,1,0,-3.7
168,Josh Jackson,PHX,21,44,11,33,22.4,9.6,3.7,9.2,40.6,0.7,2.4,30.2,1.4,2.1,66.7,0.7,3.3,4,2.3,2.3,1,0.6,2.5,20.3,0,0,-3.4
169,Kelly Olynyk,MIA,27,40,21,19,20.7,9.5,3,6.7,44.8,1.5,4.4,33.9,2.1,2.6,79.6,1,3.3,4.3,1.8,1.4,0.7,0.4,2.2,19.1,1,0,2.2
170,Lonzo Ball,LAL,21,43,23,20,30,9.5,3.7,9.3,40.1,1.5,4.7,33,0.4,1.1,41.3,1.1,4.1,5.2,5.1,2.2,1.5,0.4,2.4,26.9,3,1,-0.4
171,Allen Crabbe,BKN,26,28,11,17,26.1,9.5,3,8.9,34.3,2.3,6,38.7,1.1,1.4,78.9,0.5,3,3.5,1.1,1.1,0.6,0.3,2.4,16.8,0,0,-0.9
172,Danny Green,TOR,31,42,30,12,29.3,9.5,3.5,7.9,43.8,2.2,5.3,41.2,0.4,0.4,94.1,1,3.1,4.1,1.3,1.1,0.9,0.8,2.5,20.5,1,0,9.1
173,Tony Parker,CHA,36,37,19,18,18.6,9.4,3.8,8.4,45,0.2,0.9,25,1.7,2.4,69.7,0.2,1.3,1.5,3.8,1.3,0.4,0.1,0.9,17.2,1,0,0.8
174,Al-Farouq Aminu,POR,28,43,26,17,30.1,9.4,3.2,7.5,42.7,1.3,3.8,35.2,1.7,2,83.7,1.5,6.5,8,1,0.8,1,0.4,2,23.8,6,0,3.8
175,Cody Zeller,CHA,26,35,18,17,24.5,9.3,3.7,6.6,55.8,0.1,0.5,31.3,1.8,2.2,84.2,2.1,4.2,6.2,2.1,1.3,0.7,0.8,3.2,23.2,2,0,2.2
176,Josh Hart,LAL,23,43,23,20,27.2,9.3,3.3,8,41.6,1.7,4.7,35.5,1,1.5,68.3,0.5,3.4,4,1.4,0.9,1.1,0.6,2.4,20.6,3,0,1.3
177,Iman Shumpert,SAC,28,33,18,15,25.5,9.3,3.3,8.2,40.4,1.9,4.9,38.5,0.8,1,84.4,0.4,2.5,2.9,2,0.8,1.2,0.4,2.4,19.7,0,0,-1.2
178,Patty Mills,SAS,30,44,25,19,23.8,9.3,3.1,7.3,43,1.7,4.3,39.9,1.3,1.5,85.1,0.3,2.2,2.4,2.8,1.1,0.7,0.2,1.5,17.8,0,0,3.8
179,Ish Smith,DET,30,22,13,9,24.4,9.2,3.9,9.3,41.5,1.1,3.5,32.9,0.4,0.5,66.7,0,1.9,1.9,3,1.1,0.5,0.3,2.4,17.1,0,0,2.5
180,Trey Lyles,DEN,23,40,28,12,19.2,9.2,3.4,8.3,41.2,0.8,3.3,25,1.6,2.2,71.3,0.8,3.5,4.3,1.3,1.3,0.5,0.5,1.7,18,0,0,1.8
181,Darren Collison,IND,31,42,28,14,27.5,9.1,3.4,7.5,45.4,0.9,2.4,37.6,1.4,1.8,78.4,0.5,2.3,2.8,5.6,1.4,1.5,0.2,1.8,24.3,3,0,2
182,Rodions Kurucs,BKN,20,27,16,11,20,9,3.3,6.9,48.1,0.9,2.7,34.7,1.4,1.6,90.7,0.9,2.7,3.6,0.7,1.1,0.5,0.3,2.1,15.7,2,0,1.2
183,Shabazz Napier,BKN,27,33,13,20,16.9,8.9,2.9,7.1,40.6,1.2,3.3,37,2,2.4,83.3,0.3,1.5,1.8,2.1,1.1,0.7,0.3,1.3,16,0,0,-0.4
184,Nicolas Batum,CHA,30,42,19,23,30.7,8.9,3.3,7.2,46,1.4,3.4,40.6,0.9,1.1,84.8,0.9,4.3,5.2,3.4,1.6,0.9,0.4,1.8,22.8,0,0,0
185,Juancho Hernangomez,DEN,23,40,27,13,26.1,8.9,3,6.3,47.2,1.5,3.7,40.4,1.6,2,79.5,1.4,3.9,5.3,1,0.8,0.4,0.5,1.6,18.7,4,0,2.3
186,Larry Nance Jr.,CLE,26,39,8,31,25.6,8.8,3.5,6.6,52.9,0.3,1,33.3,1.5,2.1,72.3,2.2,5.3,7.5,3.2,1.3,1.5,0.7,2.9,27.8,6,0,-5.9
187,Gerald Green,HOU,32,37,22,15,20.3,8.8,3.1,7.3,42.2,2.1,5.8,35.8,0.6,0.7,88,0.5,2.2,2.6,0.4,0.8,0.4,0.3,1.8,13.8,0,0,3.4
188,Kevin Huerter,ATL,20,40,13,27,26.3,8.8,3.3,7.9,41.6,1.6,4.2,38,0.6,0.8,75.8,0.9,2.4,3.2,2.5,1.5,0.8,0.4,2,18.3,1,0,-1.4
189,Noah Vonleh,NYK,23,42,10,32,26.5,8.7,3,6.5,46.9,0.9,2.1,41.6,1.8,2.4,75,2,6.6,8.6,2.1,1.4,0.8,0.9,2.8,26,13,0,-2.8
190,Thomas Bryant,WAS,21,33,15,18,18,8.7,3.5,5.3,66.1,0.3,0.8,32.1,1.5,1.7,85.7,1.2,4,5.1,0.9,0.6,0.4,0.8,1.3,19.2,3,0,-1.2
191,Dwight Powell,DAL,27,38,18,20,16.5,8.7,3.1,5.3,58.1,0.3,1.5,19,2.2,2.9,74.1,1.4,2.9,4.3,0.9,0.9,0.5,0.6,2.6,17.7,1,0,1.3
192,Antonio Blakeney,CHI,22,34,8,26,15.9,8.7,3.4,7.9,42.5,0.9,2,44.8,1.1,1.6,68.5,0.1,1.7,1.8,0.6,0.7,0.3,0.2,0.7,12.4,0,0,-2.9
193,Danuel House Jr.,HOU,25,23,15,8,24.1,8.6,2.6,5.7,46.2,1.4,3.7,37.2,2,2.4,81.8,0.8,2.8,3.7,1,0.8,0.6,0.4,1.7,16.6,0,0,3.3
194,Terry Rozier,BOS,24,42,25,17,22.6,8.5,3.1,8.1,37.7,1.4,4,34.9,1,1.3,77.8,0.5,3.5,4,2.8,0.8,0.9,0.3,1.3,20.2,0,0,0.4
195,DeAndre' Bembry,ATL,24,42,13,29,24.4,8.5,3.3,7.9,42.2,0.7,2.4,30.7,1.1,1.9,59,0.6,3.7,4.3,2.6,1.7,1.3,0.6,2.4,21.6,1,0,-4
196,Langston Galloway,DET,27,40,18,22,22.3,8.5,2.9,7.5,39,1.7,4.9,34.5,1,1.2,80.9,0.7,1.7,2.4,1.2,0.4,0.5,0.1,1.7,14.3,0,0,0.1
197,Derrick White,SAS,24,35,19,16,24,8.5,3.3,6.9,48.3,0.6,1.8,32.8,1.2,1.6,78.2,0.4,2.7,3.1,3.5,1.5,0.9,0.5,1.9,20.1,0,0,2.5
198,Rajon Rondo,LAL,32,14,8,6,24.3,8.4,3.6,7.9,45,0.7,2,35.7,0.6,0.9,61.5,0.8,3.6,4.4,6.7,2.1,1,0,2.1,24.7,4,0,2.2
199,Austin Rivers,HOU,26,38,18,20,26.7,8.4,3.1,7.6,40.6,1.5,4.4,33.7,0.8,1.5,53.6,0.3,2.2,2.6,2.3,1.2,0.6,0.3,2.8,16.4,0,0,0.1
200,James Johnson,MIA,31,25,15,10,20.1,8.3,3.2,7.6,42.6,1,2.9,33.3,0.8,1.2,70,0.5,2.8,3.2,2.2,1,0.6,0.3,2.2,17.2,0,0,-2.7
201,Dion Waiters,MIA,27,4,3,1,16.4,8.3,3.3,8.5,38.2,1.8,5.3,33.3,0,1,0,0.3,1.8,2,2.5,0.3,0.5,0,0.8,15.7,0,0,4.3
201,Stanley Johnson,DET,22,36,17,19,20.5,8.3,3.1,8,38.9,1.1,4.2,26.7,0.9,1.2,78.6,0.6,3,3.6,1.3,1.4,1,0.3,2.1,16.8,0,0,-3.1
201,Wayne Ellington,MIA,31,20,9,11,22.7,8.3,2.7,7.6,35.8,2.3,6.3,36.5,0.6,0.7,84.6,0.3,1.8,2.1,1.4,0.7,1.1,0.2,1.7,15.7,0,0,-4.8
204,Kyle Korver,UTA,37,38,16,22,17.8,8.2,2.8,6.3,44.2,1.9,4.5,41.8,0.8,0.9,83.3,0.1,1.8,1.9,0.9,0.8,0.3,0.2,1.5,12.7,0,0,0.6
205,Markelle Fultz,PHI,20,19,12,7,22.5,8.2,3.4,8.2,41.9,0.2,0.7,28.6,1.1,1.9,56.8,1.4,2.3,3.7,3.1,1.3,0.9,0.3,2.7,19.4,0,0,-0.4
206,Richaun Holmes,PHX,25,42,10,32,16,8.1,3.3,4.8,68.3,0,0,0,1.6,2.2,71.7,1.6,2.9,4.5,0.8,0.8,0.7,1.1,2.5,19.5,2,0,-2
207,Landry Shamet,PHI,21,43,27,16,20.2,8.1,2.7,6.3,43.5,1.8,4.5,39.4,0.8,1,81.4,0.3,1.2,1.5,0.9,0.5,0.5,0.1,2.1,12.5,0,0,-1.6
208,Bam Adebayo,MIA,21,41,21,20,21.8,8,3,5.4,55.6,0,0.1,16.7,2,2.7,72.3,2.2,4.7,6.9,2.1,1.3,0.8,0.9,2.6,23.1,5,0,1.5
209,PJ Tucker,HOU,33,41,24,17,35.1,8,2.8,6.7,41.5,2,4.9,39.8,0.5,0.9,60,1.4,4.8,6.1,1.2,0.9,1.2,0.4,3.1,21.2,1,0,1.4
210,Alan Williams,BKN,25,1,0,1,8.7,8,3,4,75,0,0,0,2,4,50,2,6,8,2,1,0,0,0,19.6,0,0,8
211,Shelvin Mack,MEM,28,40,19,21,23.2,7.9,2.9,7.1,41.3,0.9,2.4,37.1,1.2,1.7,71.2,0.3,1.6,1.9,3.1,1.1,0.9,0.1,1.4,16.6,0,0,-2.2
212,Jonathan Isaac,ORL,21,36,14,22,24.5,7.9,2.8,6.9,40.1,0.7,2.6,28.3,1.7,2,83.3,1,3.7,4.7,0.8,1.1,0.8,1.1,2,19.2,1,0,-2.9
213,Kyle Anderson,MEM,25,41,19,22,29.7,7.9,3.4,6.3,54.3,0.2,0.8,26.5,0.8,1.4,57.6,1,4.8,5.8,3,1.2,1.3,0.9,2.5,24.6,2,1,-1.3
214,George Hill,MIL,32,29,14,15,23.5,7.9,3,6.4,46.2,0.8,2.2,34.4,1.2,1.5,77.3,0.8,1.4,2.2,2.4,0.9,0.9,0.1,2.2,16.1,0,0,1.3
215,Quinn Cook,GSW,25,37,23,14,15.5,7.8,3.1,6.5,47.7,1.2,2.9,43.4,0.4,0.5,77.8,0.3,2,2.3,1.8,0.8,0.4,0.1,1.4,13.8,0,0,-1.2
216,Evan Turner,POR,30,42,26,16,24.5,7.8,3.3,7.1,46.8,0.1,0.9,16.2,1,1.5,70.5,0.6,4.1,4.8,3.9,1.9,0.6,0.3,1.9,20.2,1,0,0.3
217,Michael Kidd-Gilchrist,CHA,25,35,16,19,19.2,7.8,3,6.1,48.8,0.2,0.6,38.1,1.6,2,77.5,1.8,2.9,4.7,0.9,0.8,0.5,0.9,2.7,18.3,1,0,-0.6
218,Marcus Smart,BOS,24,42,25,17,26.4,7.7,2.5,6.3,40.3,1.4,3.8,35.4,1.3,1.7,76.7,0.7,2.1,2.8,4,1.4,1.7,0.4,2.5,22,1,0,3.9
219,Mario Hezonja,NYK,23,36,10,26,18.1,7.6,2.9,7.4,40,0.8,2.6,29,1,1.5,66.7,0.4,2.9,3.3,0.9,1.1,0.9,0.1,1.7,15.1,0,0,-1.9
220,Mike Muscala,PHI,27,36,23,13,22.4,7.6,2.4,6,39.2,1.5,4.5,34.2,1.4,1.7,81.7,1.1,3.3,4.3,1.5,1,0.4,0.6,2.5,16.7,1,0,-0.1
221,Willy Hernangomez,CHA,24,34,16,18,13.6,7.6,2.7,5.3,50.8,0.4,0.7,48,1.8,2.7,68.1,2.1,3.3,5.4,1,1,0.3,0.4,1.7,16.4,1,0,-1.7
222,Ersan Ilyasova,MIL,31,29,20,9,19.4,7.6,2.9,6.3,45.1,0.9,2.4,37.1,1,1.1,87.5,1.6,3.8,5.4,1.1,0.9,0.6,0.2,2.8,17.4,2,0,2.9
223,Davis Bertans,SAS,26,40,22,18,19.5,7.6,2.6,5.3,48.6,1.9,4,47.2,0.6,0.7,88.5,0.4,2.9,3.3,1.1,0.6,0.5,0.4,1.7,15.4,0,0,3.6
224,OG Anunoby,TOR,21,38,27,11,20.9,7.6,3,6.8,44.6,1.2,3.4,34.4,0.3,0.9,35.3,0.8,2.2,3,0.7,0.7,0.6,0.3,2.1,14.3,0,0,-1.2
225,Jonas Jerebko,GSW,31,42,28,14,20,7.5,2.6,5.6,46.8,1.1,3.1,36.4,1.1,1.3,83.6,1.2,3.8,5,1.7,0.8,0.4,0.2,2.4,17,1,0,2.1
226,Dillon Brooks,MEM,22,18,9,9,18.3,7.5,2.7,6.8,40.2,0.8,2.2,37.5,1.2,1.7,73.3,0.5,1.2,1.7,0.9,1.1,0.6,0.2,2.8,12.2,0,0,-0.9
227,Mikal Bridges,PHX,22,44,11,33,26.1,7.5,2.7,6.5,41.5,1.3,3.7,34.6,0.8,1,84.1,0.6,2.2,2.8,1.6,0.7,1.4,0.5,2.3,18.2,0,0,-2.8
228,Isaiah Canaan,PHX,27,19,4,15,26.5,7.5,2.7,6.8,39.5,1.3,3.8,34.7,0.8,1.1,75,0.3,2.3,2.6,3.3,1.5,0.6,0,2.4,15.8,0,0,-6.7
229,Mason Plumlee,DEN,28,41,28,13,19.9,7.4,3.1,5.1,60.5,0,0.1,33.3,1.2,2.5,47.6,2.1,3.8,6,2.4,1.5,1,1,3.3,22.6,5,0,1.3
230,Dante Exum,UTA,23,39,19,20,16.3,7.4,2.6,6,43.2,0.5,1.5,30.5,1.7,2.2,79.1,0.4,1.3,1.7,2.7,1.2,0.4,0.1,1.6,13.8,1,0,1.3
231,Dorian Finney-Smith,DAL,25,42,20,22,24.4,7.4,2.7,6,44.1,1,3,33.1,1.1,1.6,68.2,1.6,2.8,4.4,0.7,0.9,1,0.5,2.4,17.1,0,0,-0.2
232,Derrick Jones Jr.,MIA,21,30,15,15,18.5,7.4,2.8,5.6,49.4,0.6,1.5,37.8,1.3,2,62.3,2,2.6,4.5,0.5,0.7,0.9,0.7,2,17.8,0,0,1.1
