,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
233,Avery Bradley,LAC,28,36,19,17,28.8,7.3,3,8,37.8,0.9,3,29.9,0.4,0.5,82.4,0.6,1.8,2.3,1.9,1.2,0.6,0.4,2.8,14.7,0,0,-2.1
233,Michael Beasley,LAL,30,15,7,8,9.9,7.3,3.1,5.5,56.1,0.2,0.8,25,1,1.4,71.4,0.3,1.6,1.9,0.7,1,0.3,0.3,1.7,11.7,0,0,-1.5
235,James Ennis III,HOU,28,28,15,13,23,7.3,2.6,5.3,49.7,1.1,3.1,36.4,0.9,1.4,65.8,0.9,1.7,2.6,0.7,0.6,0.8,0.4,2.9,14.5,0,0,-0.7
236,Justin Jackson,SAC,23,42,22,20,21.9,7.3,2.6,6,43.8,1.2,3.2,36.8,0.9,1,81.8,0.6,2.4,3,1.4,0.5,0.4,0.2,1.3,14.4,0,0,-0.4
237,Zach Collins,POR,21,43,26,17,18.9,7.3,2.7,5.5,49.4,0.5,1.7,31.5,1.3,1.6,79.7,1.3,3,4.3,0.9,1.1,0.4,0.9,2.5,16.5,0,0,-0.3
238,Lance Stephenson,LAL,28,42,22,20,15.3,7.2,2.8,6.3,44.7,1,2.6,37.3,0.5,0.9,63.9,0.5,2.6,3,2,1.2,0.6,0.1,1.6,14.9,0,0,-1
239,Norman Powell,TOR,25,22,19,3,18.2,7.2,2.8,6,46.6,0.8,2.6,31.6,0.8,1,85.7,0.1,2,2.1,1.3,0.8,0.6,0.3,1.7,13.5,0,0,-0.9
240,Cory Joseph,IND,27,42,28,14,25.7,7.2,3,6.7,44.8,0.8,2.2,37.6,0.3,0.5,63.6,0.4,3.2,3.5,3.8,1.2,1.2,0.2,1.7,20.1,0,0,3.5
241,Tomas Satoransky,WAS,27,43,18,25,22.1,7.1,2.6,5.2,49.6,0.7,1.7,40.8,1.3,1.6,82.4,0.7,2,2.7,3.5,1.2,0.9,0.2,2,17.6,2,1,-0.7
242,Luke Kennard,DET,22,23,7,16,19,7.1,2.7,6.7,40.9,1.2,3.3,35.5,0.5,0.7,64.7,0.2,2.5,2.7,1.3,0.8,0.3,0.2,1.3,13.1,0,0,-2
243,Draymond Green,GSW,28,28,20,8,31.3,7.1,2.8,6.8,41.6,0.5,2.2,24.2,0.9,1.2,78.8,1.1,6.9,8,6.8,2.8,1.6,1,3.4,31.8,5,0,7.4
244,Josh Okogie,MIN,20,35,17,18,21.4,7.1,2.4,6.5,37.2,0.7,2.8,25.8,1.6,2.2,71.4,0.6,2.4,3,1.1,0.9,0.9,0.4,2.1,15.4,1,0,0.5
245,Sam Dekker,WAS,24,25,8,17,17.1,7.1,3,5.8,52.4,0.4,1.2,33.3,0.6,1,62.5,1.1,2.3,3.4,0.9,0.4,1.1,0.2,1,15.8,0,0,-1.8
246,Darius Miller,NOP,28,38,20,18,23.2,7.1,2.4,5.8,41.1,1.7,4.4,38.5,0.6,0.7,82.1,0.2,1.3,1.5,1.7,0.8,0.6,0.3,2.4,13.3,0,0,1.4
247,Jonathon Simmons,ORL,29,35,16,19,20.7,7,2.6,7.3,35.8,0.4,2,21.7,1.4,1.7,80.3,0.5,1.8,2.3,2.2,1.4,0.5,0.4,1.6,14.2,0,0,-3.6
248,Vince Carter,ATL,41,39,11,28,17.3,7,2.5,6.2,40.2,1.5,4.1,37.1,0.5,0.7,76.9,0.4,2.4,2.8,1,0.7,0.6,0.3,1.8,14.1,0,0,-4.2
249,Doug McDermott,IND,27,42,28,14,17.6,6.9,2.4,5,48.3,1.2,2.9,41.7,0.9,1,85.7,0.2,1.1,1.3,0.8,0.5,0.3,0.1,1.4,10.3,0,0,2.1
250,Boban Marjanovic,LAC,30,30,15,15,10.7,6.9,2.4,4.1,59.8,0,0.1,0,2,2.6,78.2,1.5,2.8,4.3,0.6,1.1,0.3,0.6,1.6,14.4,3,0,-0.1
251,Daniel Theis,BOS,26,32,20,12,15.8,6.9,2.7,5,53.5,0.5,1.2,38.5,1.1,1.5,72.9,1.6,2.7,4.3,1.1,0.7,0.3,0.6,2.8,15.6,1,0,3.4
252,Patrick Beverley,LAC,30,42,24,18,24.9,6.7,2.2,5.7,38.2,1.2,3.4,36.1,1.2,1.5,75.4,0.7,3,3.7,3.3,1,0.6,0.4,3.5,18.1,2,0,0.6
253,JR Smith,CLE,33,11,1,10,20.2,6.7,2.5,7.2,34.2,1.1,3.5,30.8,0.7,0.9,80,0,1.6,1.6,1.9,1,1,0.3,1.7,14.4,0,0,-1.3
254,Chasson Randle,WAS,25,13,6,7,15.8,6.7,2.2,4.7,47.5,1,2.3,43.3,1.2,1.5,80,0.5,0.8,1.3,1.9,1.2,0.6,0.1,2.1,12,0,0,0.5
255,Kevon Looney,GSW,22,42,28,14,20.8,6.6,2.9,4.5,63.9,0,0.2,14.3,0.8,1.3,60.7,2.5,3,5.6,1.9,0.7,0.4,0.8,2.9,19.1,1,0,4.2
256,T.J. McConnell,PHI,26,37,22,15,21,6.6,2.9,5.3,55.9,0.2,0.6,34.8,0.5,0.6,79.2,0.4,1.7,2.1,3.6,1.4,1.2,0.2,1.8,17.5,0,0,-0.7
257,MarShon Brooks,MEM,29,29,15,14,13.3,6.6,2.6,5.8,45,0.5,1.9,27.8,0.8,1.1,69.7,0.4,1.1,1.6,0.9,0.7,0.3,0.1,1.1,10.3,0,0,-0.8
258,Furkan Korkmaz,PHI,21,35,22,13,15.7,6.5,2.3,5.8,39.9,1.1,3.5,32.3,0.7,0.9,83.9,0.4,2.1,2.5,1.3,0.6,0.7,0.1,1.4,13.1,0,0,1.5
259,Delon Wright,TOR,26,39,27,12,18.3,6.5,2.5,5.9,42.6,0.7,2,33.8,0.8,0.9,88.6,0.8,1.8,2.5,2.2,0.7,0.9,0.3,1.1,15.5,0,0,-1.9
260,Jamal Crawford,PHX,38,37,8,29,17.2,6.5,2.2,6.3,35.2,0.7,2.6,28.1,1.3,1.5,84.2,0.2,1,1.2,3.2,1.5,0.4,0.2,1.2,12.9,0,0,-5.4
261,Ivica Zubac,LAL,21,22,10,12,13.2,6.5,2.7,4.8,56.2,0,0,0,1.1,1.2,88.9,1.4,2.8,4.2,0.7,0.7,0.2,0.8,1.8,14.7,2,0,1.3
262,Miles Bridges,CHA,20,40,18,22,19.3,6.4,2.4,5.7,42.9,0.7,2.4,29.9,0.9,1.1,75.6,0.6,3.1,3.6,1,0.6,0.5,0.7,1.4,15.1,0,0,-0.7
262,Nik Stauskas,POR,25,40,24,16,15.9,6.4,2.3,5.4,43,1,2.9,35,0.8,0.9,88.9,0.3,1.7,1.9,1.5,1,0.3,0.1,0.8,11.3,0,0,-3.4
264,Tony Snell,MIL,27,41,29,12,17.5,6.4,2.3,5,44.9,1.2,3.1,38.6,0.7,0.7,90,0.4,1.7,2.1,0.8,0.4,0.3,0.2,1.2,11.4,0,0,3.2
265,Maxi Kleber,DAL,26,37,18,19,18.5,6.4,2.3,5,45.2,0.9,2.9,31.8,0.9,1.1,80.5,1,2.8,3.9,0.7,0.6,0.4,1.2,1.5,16.5,0,0,4.1
266,Devin Harris,DAL,35,30,16,14,15.2,6.3,2,5.2,39.4,0.8,2.9,27.6,1.5,1.8,81.5,0.1,1.6,1.7,1.1,0.7,0.8,0.2,1.5,12.2,0,0,-0.9
267,Ryan Arcidiacono,CHI,24,42,10,32,26.7,6.3,2.1,4.9,43.2,1.3,3.3,38.8,0.8,0.9,86.8,0.3,2.2,2.5,3.5,0.9,1,0,2.2,16.8,0,0,-3.4
268,Elie Okobo,PHX,21,26,4,22,18.4,6.3,2.4,6.2,38.9,0.8,2.5,31.3,0.7,0.8,85.7,0.2,1.7,1.9,2.4,1.5,0.7,0.2,2.4,13.4,0,0,-2.6
269,Mo Bamba,ORL,20,39,17,22,16.6,6.3,2.5,5.4,46.7,0.5,1.6,28.1,0.7,1.4,54.7,1.4,3.6,5,0.9,0.9,0.3,1.4,2.3,17.8,1,0,-5.9
270,Wilson Chandler,PHI,31,28,18,10,25.6,6.2,2.4,5.7,42.1,1.1,2.9,36.6,0.4,0.5,71.4,1.3,3.4,4.6,2,1,0.5,0.4,2.7,16.5,0,0,2.9
271,Cameron Payne,CLE,24,34,6,28,17.7,6.2,2.4,5.7,42.5,0.6,2.2,29.7,0.7,0.9,86.2,0.3,1.4,1.7,2.7,1.1,0.7,0.2,1.6,13.9,0,0,-6.5
272,Jalen Brunson,DAL,22,35,15,20,16.4,6.2,2.5,5.6,43.7,0.5,1.7,31.1,0.7,1.1,65,0.3,1.3,1.6,2.1,0.7,0.6,0,1.3,12.2,1,0,1.1
273,Pat Connaughton,MIL,26,26,17,9,18.7,6.2,2.3,5.7,40.9,1,3.4,28.1,0.5,0.8,70,0.9,2.9,3.8,2.1,0.4,0.5,0.6,1.2,16.7,0,0,3
274,Troy Daniels,PHX,27,20,5,15,14.4,6.2,2.1,5.2,40.8,1.6,4,39.2,0.4,0.5,88.9,0.3,1,1.3,0.5,0.7,0.7,0.1,1.4,9.7,0,0,0.5
275,De'Anthony Melton,PHX,20,27,8,19,21.3,6,2.3,6.3,37.3,0.8,2.5,32.4,0.6,0.7,83.3,0.4,2.3,2.7,3.4,1.7,1.7,0.5,2.7,19.1,0,0,-2.4
276,Frank Ntilikina,NYK,20,35,9,26,21.1,6,2.3,6.5,34.9,0.9,2.9,30,0.6,0.7,80.8,0.2,1.7,1.9,2.5,1.3,0.7,0.3,2.5,13.7,0,0,-5.9
277,Henry Ellenson,DET,21,2,0,2,12.4,6,2,5,40,1,2,50,1,1,100,0,4.5,4.5,0.5,0,0,0,1,12.2,0,0,-4
277,Luke Kornet,NYK,23,20,4,16,13.7,6,2,4.8,41.7,1.5,3.4,42.6,0.6,0.7,84.6,0.6,1.9,2.5,1.2,0.5,0.3,0.6,0.7,12.8,0,0,-4.3
279,Seth Curry,POR,28,37,23,14,17.3,6,2.2,5.1,43.1,1.4,2.9,49.1,0.2,0.2,100,0.3,1,1.3,0.8,0.8,0.4,0.1,1.3,9.4,0,0,2.3
280,David Nwaba,CLE,25,21,6,15,16.4,6,2,4.7,42.4,0.4,1.7,25.7,1.5,2.4,64,0.5,2.3,2.8,0.7,0.4,0.6,0.3,1.7,12.8,0,0,0.7
281,Torrey Craig,DEN,28,36,26,10,22.1,5.9,2.3,5.4,42.5,0.8,2.8,29.3,0.6,0.9,61.8,1.6,2.6,4.1,1,0.8,0.5,0.5,2.6,14.6,1,0,0.2
282,Yogi Ferrell,SAC,25,33,16,17,14.1,5.9,2.2,4.8,44.4,0.7,2,36.9,0.9,1,87.9,0.1,1.3,1.4,1.7,0.4,0.4,0.1,0.7,11.2,0,0,-0.8
283,Maurice Harkless,POR,25,26,13,13,21.6,5.9,2.4,5.3,44.6,0.6,1.9,32,0.5,0.8,65,1,3.2,4.1,0.7,0.6,0.9,1,2.8,16.9,0,0,1
284,Ed Davis,BKN,29,43,21,22,18.3,5.9,2.4,3.9,61.9,0,0,0,1,1.9,55,3,5.6,8.6,0.7,0.8,0.6,0.4,2.9,19.2,2,0,1.2
285,D.J. Wilson,MIL,22,13,10,3,17.9,5.8,2.2,4.6,46.7,0.9,2.1,44.4,0.6,1.2,53.3,1,4,5,0.8,0.4,0.5,0.4,2.1,15.5,1,0,4.3
286,Shaquille Harrison,CHI,25,34,8,26,17.7,5.7,2.1,5.4,39.7,0.3,1.3,25.6,1.1,1.8,63.3,0.4,2.4,2.8,1.7,0.8,1.3,0.3,1.5,15.7,0,0,-4.4
287,Troy Williams,SAC,24,18,7,11,15.9,5.7,2.2,4.8,46,0.8,2.3,34.1,0.5,0.8,60,0.5,2.6,3.1,0.6,0.4,0.6,0.4,1.9,12.8,0,0,-2.4
288,Omari Spellman,ATL,21,25,7,18,16.5,5.7,2,5.2,38.5,0.8,2.5,32.3,0.9,1.2,76.7,1.7,2.3,4,0.9,0.7,0.7,0.6,1.4,14.9,3,0,-6.5
289,Chandler Parsons,MEM,30,3,2,1,15.4,5.7,2.3,5.7,41.2,1,3.3,30,0,0,0,0.3,1,1.3,0.7,0.7,0.3,0.3,2.3,9.6,0,0,-3.7
290,John Henson,CLE,28,14,10,4,13.5,5.6,2.2,4.8,46.3,0.8,2.2,35.5,0.4,0.7,60,1.1,3.9,5.1,1,0.9,0.5,0.8,1.1,16.2,0,0,0.1
291,Meyers Leonard,POR,26,40,24,16,14.2,5.6,2.1,4.1,50.9,0.8,1.8,41.7,0.7,0.9,85.3,0.9,3.3,4.1,1.2,0.8,0.3,0.2,1.8,13.1,1,0,-1.4
292,Jakob Poeltl,SAS,23,40,21,19,15.5,5.6,2.4,3.8,62.5,0,0,0,0.9,1.5,58.6,2.3,2.9,5.2,1.2,0.8,0.2,0.7,1.5,15.5,0,0,2.2
293,Alex Abrines,OKC,25,29,19,10,19.8,5.6,1.9,5.3,35.9,1.4,4.3,32.3,0.4,0.4,92.3,0.2,1.4,1.6,0.7,0.5,0.6,0.2,1.8,10.5,0,0,1.1
294,Aaron Holiday,IND,22,24,17,7,11.2,5.6,2,4.8,41.4,0.6,2.4,25.9,1,1.1,88.5,0.1,1.5,1.6,1.5,0.7,0.5,0.3,1.3,11.4,0,0,2.8
294,Robin Lopez,CHI,30,36,8,28,16.3,5.6,2.4,4.8,51.2,0.1,0.4,28.6,0.6,0.8,70,1.1,1.4,2.5,1,1.4,0.2,0.8,1.8,11.7,0,0,-1.8
296,Matthew Dellavedova,CLE,28,26,12,14,14.2,5.6,2,4.2,46.4,1,2.3,42.6,0.7,0.7,89.5,0,1.2,1.2,3.2,1.4,0.2,0,1.3,11.2,0,0,-1
297,Frank Kaminsky,CHA,25,23,11,12,11.4,5.6,2,4,49.5,0.6,1.7,35,1,1.4,66.7,0.8,1.7,2.5,1.1,0.8,0.2,0.2,1.1,10.7,0,0,-0.8
298,Tyus Jones,MIN,22,42,20,22,20.5,5.5,2.1,5.5,38.7,0.5,1.7,30.1,0.7,0.9,83.8,0.3,1.4,1.7,4,0.6,1.3,0.1,0.9,16.9,2,0,0.9
299,Gorgui Dieng,MIN,28,43,21,22,13.9,5.5,2.1,4.3,48.9,0.2,0.7,31,1,1.2,86.5,0.9,3.2,4.1,0.8,0.7,0.5,0.6,2,14.2,0,0,-1.5
300,Aron Baynes,BOS,32,25,14,11,14.2,5.5,1.9,4.2,45.2,0.5,1.5,32.4,1.2,1.4,86.1,1.6,2.7,4.2,1.2,0.7,0.2,0.4,2.2,13.4,0,0,3.4
301,Jake Layman,POR,24,32,19,13,15.1,5.5,2.2,4.4,49.3,0.7,2.1,33.8,0.4,0.7,66.7,0.8,1.8,2.6,0.5,0.5,0.5,0.3,1,11,1,0,-0.1
302,Harry Giles III,SAC,20,30,13,17,11.7,5.5,2.4,5.1,47.4,0,0.2,0,0.7,1.1,58.8,0.9,2.3,3.3,1.4,1.2,0.8,0.3,2.3,13.6,0,0,-4.1
303,Damian Jones,GSW,23,24,15,9,17.1,5.4,2.2,3.1,71.6,0,0,0,1,1.5,64.9,1.3,1.8,3.1,1.2,0.7,0.5,1,2.6,14.9,0,0,0.7
304,Andre Iguodala,GSW,34,37,24,13,23.1,5.3,2,4.3,45.6,0.8,2.1,36.4,0.6,1,63.9,0.7,2.8,3.5,2.9,0.8,0.8,0.8,1.4,17.9,0,0,3.4
305,Courtney Lee,NYK,33,10,1,9,14.9,5.3,2,4.5,44.4,0.5,1.5,33.3,0.8,1.2,66.7,0.6,1.8,2.4,1.4,0.4,0.8,0.2,1.3,12.9,0,0,-2.7
306,Sterling Brown,MIL,23,31,23,8,14.9,5.3,2.1,4.6,45.8,0.8,2.3,34.7,0.3,0.4,75,0.5,2.5,3,1.1,0.5,0.3,0.1,1.4,11.3,0,0,0.2
307,Wayne Selden,CHI,24,36,15,21,14.2,5.3,2,4.9,40.9,0.6,1.9,31.9,0.7,0.9,75,0.5,0.9,1.3,1.2,0.7,0.3,0.2,1.4,9.4,0,0,-1.2
308,Terrance Ferguson,OKC,20,35,22,13,22.1,5.3,1.9,4.7,40.9,1.1,2.8,37.4,0.4,0.5,72.2,0.5,1.2,1.7,0.6,0.5,0.5,0.3,2.8,10,0,0,4.2
309,Marcin Gortat,LAC,34,35,19,16,16.9,5.2,2.2,4.1,52.8,0,0,0,0.9,1.1,79.5,1.5,4.2,5.7,1.6,1.1,0.2,0.6,2.1,15.7,1,0,-1.1
310,Frank Jackson,NOP,20,28,11,17,12.7,5.2,1.9,4.2,44.1,0.8,1.8,41.2,0.7,0.9,80,0.1,0.9,1,0.6,0.6,0.3,0,1.4,7.4,0,0,-1.3
311,Omri Casspi,MEM,30,30,14,16,12.4,5.2,1.9,3.7,52.7,0.3,1.1,31.3,1,1.5,63,0.4,2.6,3,0.7,0.5,0.3,0.2,0.9,11,0,0,1.7
312,Alfonzo McKinnie,GSW,26,33,24,9,14.3,5.2,2,4.4,46.2,0.7,1.8,36.7,0.4,0.8,56,1.3,2.5,3.8,0.5,0.5,0.2,0.2,2,11,1,0,0.3
313,Dwayne Bacon,CHA,23,20,8,12,11.9,5.2,2.1,3.9,53.2,0.6,1.1,52.4,0.5,0.6,83.3,0.1,1.7,1.8,0.8,0.6,0.2,0,1.3,8.2,0,0,1.2
314,Pau Gasol,SAS,38,14,9,5,15.8,5.1,1.9,3.8,49.1,0.3,0.6,50,1.1,1.6,72.7,0.9,5.1,5.9,2.5,0.6,0.1,0.9,1.5,18.4,1,0,-0.4
315,Bruce Brown,DET,22,34,13,21,20.1,5.1,2,5.1,39.3,0.3,1.4,22.4,0.8,1,77.1,0.8,1.9,2.8,1.4,0.7,0.6,0.5,2.7,13,0,0,-1.2
316,Kenneth Faried,BKN,29,12,3,9,9.8,5.1,2.1,3.5,59.5,0.1,0.4,20,0.8,1.3,62.5,1.3,2.4,3.7,0.2,0.5,0.2,0.3,0.7,10.7,2,0,-1.7
317,Greg Monroe,TOR,28,27,19,8,11.3,5.1,2.1,4.5,45.9,0,0.1,0,0.9,1.4,64.1,1.7,2.6,4.3,0.4,0.7,0.3,0.2,1.4,11.8,0,0,-2.6
318,Jalen Jones,CLE,25,16,3,13,13.4,5.1,1.6,3.9,41.9,0.6,1.8,35.7,1.2,1.7,70.4,0.7,1.4,2.1,0.4,0.5,0.6,0.1,1.7,9.8,0,0,-1.6
318,Thon Maker,MIL,21,32,24,8,12.1,5.1,1.8,4.1,44.6,0.8,2.4,33.3,0.6,1.2,54.1,0.5,2.3,2.8,0.5,0.3,0.3,0.6,1.6,11.4,0,0,1.4
320,Nerlens Noel,OKC,24,39,25,14,13.7,5.1,2.1,3.5,59.1,0,0,0,0.9,1.2,72.9,1.7,2.8,4.6,0.5,0.6,1,1.4,2.2,18.1,1,0,-1.6
321,Frank Mason,SAC,24,29,14,15,12.6,5,1.8,4.5,40.5,0.3,1.6,20,1.1,1.6,67.4,0.1,1.1,1.2,2.7,0.9,0.5,0.1,0.8,11.5,0,0,-3.6
322,Jared Dudley,BKN,33,43,21,22,22,5,1.8,4.4,40.5,0.9,2.8,32.2,0.5,0.8,62.9,0.6,2.2,2.8,1.5,0.9,0.7,0.3,2.4,12.6,0,0,-0.5
322,Luc Mbah a Moute,LAC,32,4,2,2,15.3,5,2,4.5,44.4,0.5,1.5,33.3,0.5,1.3,40,0.5,1.3,1.8,0.5,0.5,0.3,0.3,2,8.9,0,0,2.8
324,Raul Neto,UTA,26,19,11,8,12,4.9,1.9,3.7,51.4,0.5,1.4,33.3,0.7,0.7,92.9,0.1,1.4,1.5,2,0.9,0.4,0,1.1,10.1,0,0,2.5
325,Alex Poythress,ATL,25,18,6,12,13.5,4.9,1.9,3.6,53.8,0.4,1,38.9,0.6,1.2,52.4,1.3,1.9,3.3,0.7,0.6,0.2,0.4,2.2,11.2,0,0,-4.4
326,Damion Lee,GSW,26,16,8,8,12.2,4.9,1.7,3.6,46.6,0.8,1.9,41.9,0.7,0.8,84.6,0.2,1.6,1.8,0.2,0.5,0.5,0,1.2,8.3,0,0,-1
327,Donte DiVincenzo,MIL,21,23,17,6,15.6,4.8,1.8,4.7,39.3,0.7,3,24.6,0.4,0.5,81.8,0.6,1.9,2.4,1.2,0.8,0.5,0.3,1.5,11,0,0,3.7
328,Devonte' Graham,CHA,23,22,6,16,13.3,4.8,1.7,4.3,39.4,0.8,2.2,36.7,0.6,0.6,92.9,0,1.2,1.3,2.4,0.6,0.7,0,1.1,11.3,0,0,-2.3
329,Tim Frazier,NOP,28,34,14,20,19.4,4.8,1.8,4,44.9,0.7,1.8,38.3,0.5,0.6,77.3,0.7,2.1,2.8,4.2,1.3,0.5,0.1,2,15,1,0,-0.9
330,Devin Robinson,WAS,23,4,1,3,8,4.8,2,3.3,61.5,0,0,0,0.8,1.5,50,0.5,1.3,1.8,0.5,0,0.8,0.3,0.5,10.6,0,0,1.3
331,Ante Zizic,CLE,22,27,4,23,11.7,4.7,1.8,3.6,50,0,0,0,1.2,1.7,71.1,1.3,2.3,3.7,0.6,0.8,0.1,0.3,1.4,10.5,0,0,-1.4
332,CJ Miles,TOR,31,33,23,10,14.2,4.7,1.5,5,30.1,0.9,3.3,27.3,0.8,1,78.8,0.2,1.5,1.7,0.6,0.5,0.3,0.2,1.4,8.6,0,0,-3.5
333,Wes Iwundu,ORL,24,32,12,20,17.1,4.7,1.6,4.1,38.2,0.3,1.1,28.6,1.3,1.5,81.6,0.3,1.7,2,0.8,0.7,0.3,0.2,1.7,9.2,0,0,-2.5
334,Mitchell Robinson,NYK,20,28,9,19,17.2,4.7,2,3.2,64,0,0,0,0.6,1.1,53.1,2.1,1.8,3.9,0.6,0.6,0.7,1.8,3.2,17.2,1,0,-2.9
335,Hamidou Diallo,OKC,20,36,21,15,12.2,4.7,1.9,3.9,47.5,0.1,0.6,18.2,0.8,1.3,63.8,0.8,1.4,2.3,0.4,0.5,0.4,0.3,1.8,9.6,0,0,-0.5
335,Jahlil Okafor,NOP,23,24,12,12,9.1,4.7,1.9,3.5,53.6,0,0,0,0.9,1.2,78.6,1.1,1.4,2.5,0.3,0.4,0.2,0.3,1.5,9.1,0,0,0.6
335,Raymond Felton,OKC,34,15,10,5,11.1,4.7,1.9,5.1,36.8,0.4,2,20,0.5,0.6,88.9,0.2,1.2,1.4,1.8,0.7,0.4,0.3,0.9,10.3,0,0,-1.7
338,Chandler Hutchison,CHI,22,38,9,29,18.6,4.6,1.9,4.3,44.8,0.3,1,28.9,0.4,0.8,56.7,0.7,3.1,3.8,0.7,0.6,0.4,0.1,1.2,11.3,0,0,-2.5
339,Anthony Tolliver,MIN,33,28,13,15,15,4.5,1.4,3.4,41.7,1.1,3,38.1,0.5,0.7,70,0.3,1.7,2,0.6,0.6,0.4,0.4,1.4,9.3,0,0,-2
340,Miles Plumlee,ATL,30,18,1,17,9.6,4.4,1.8,2.7,66.7,0,0,0,0.9,1.7,53.3,0.9,1.3,2.2,0.9,0.6,0.3,0.2,0.8,9.6,0,0,-2.4
341,Zaza Pachulia,DET,34,32,15,17,13.1,4.4,1.3,3.2,41.2,0,0.1,0,1.8,2.3,77,1.8,2.7,4.4,1.5,0.8,0.7,0.3,2.2,14,0,0,-0.1
342,Mike Scott,LAC,30,42,24,18,14.4,4.4,1.6,4.4,37.5,0.9,2.5,34.9,0.2,0.4,62.5,0.5,2.9,3.4,0.9,0.5,0.4,0.2,1.7,10.9,0,0,0.6
343,Glenn Robinson III,DET,25,28,12,16,14.6,4.4,1.5,4,38.1,0.4,1.4,27.5,0.9,1.1,83.9,0.3,1,1.4,0.5,0.5,0.4,0.2,1,7.9,0,0,-1.4
344,Ian Mahinmi,WAS,32,24,8,16,14.7,4.4,1.4,2.8,49.3,0,0.5,9.1,1.6,2.4,66.7,1.6,2.3,3.9,0.8,0.6,0.8,0.6,2.5,13.7,0,0,0.5
345,Jon Leuer,DET,29,27,9,18,11,4.4,1.8,3,60.5,0,0.3,0,0.7,0.9,80,0.7,2,2.7,0.4,0.6,0.4,0.1,1.6,9,0,0,-3
346,Shaun Livingston,GSW,33,31,19,12,15.7,4.4,1.8,3.9,45.5,0,0.1,0,0.8,1.1,75.8,0.7,1.4,2.1,2.1,0.7,0.6,0.5,1.2,12.6,0,0,-0.3
347,Royce O'Neale,UTA,25,44,23,21,16.6,4.3,1.7,3.7,45.3,0.7,1.7,39.7,0.4,0.5,72.7,0.3,2.8,3.1,1.2,0.8,0.6,0.2,1.8,11.4,0,0,-0.7
348,Michael Carter-Williams,CHI,27,16,7,9,9,4.3,1.6,3.8,41,0.4,1.2,36.8,0.8,1.6,46.2,0.2,0.6,0.8,1.3,0.6,0.6,0.4,1.7,9.4,0,0,-4
349,Jaron Blossomgame,CLE,25,17,3,14,16.6,4.3,1.7,3.8,45.3,0.5,1.6,33.3,0.4,0.4,85.7,1,2.6,3.6,0.5,0.5,0.4,0.2,0.5,10.7,1,0,-1.3
350,Grayson Allen,UTA,23,18,8,10,9.9,4.2,1.2,3.7,33.3,0.7,2.4,27.3,1.1,1.5,74.1,0.1,0.3,0.3,0.4,0.6,0.1,0.1,1,4.9,0,0,-3
